,tp,fp,fn,precision,recall,f1
Happy music,58,43,62,0.5742574257425742,0.48333333333333334,0.5248868778280543
Funny music,27,57,33,0.32142857142857145,0.45,0.375
Sad music,25,9,35,0.7352941176470589,0.4166666666666667,0.5319148936170213
Tender music,30,67,30,0.30927835051546393,0.5,0.3821656050955414
Angry music,94,10,26,0.9038461538461539,0.7833333333333333,0.8392857142857143
