,tp,fp,fn,precision,recall,f1
anger,53,97,673,0.35333333333333333,0.07300275482093664,0.12100456621004567
disgust,27,21,96,0.5625,0.21951219512195122,0.3157894736842105
fear,1,1,97,0.5,0.01020408163265306,0.019999999999999997
joy,1555,571,549,0.731420507996237,0.7390684410646388,0.7352245862884161
sadness,150,668,229,0.18337408312958436,0.39577836411609496,0.25062656641604014
surprise,28,140,649,0.16666666666666666,0.0413589364844904,0.06627218934911243
neutral,1196,919,591,0.56548463356974,0.6692781197537773,0.6130189646335212
