,tp,fp,fn,precision,recall,f1
Happy music,55,46,65,0.5445544554455446,0.4583333333333333,0.497737556561086
Funny music,31,55,29,0.36046511627906974,0.5166666666666667,0.4246575342465753
Sad music,24,10,36,0.7058823529411765,0.4,0.5106382978723405
Tender music,25,72,35,0.25773195876288657,0.4166666666666667,0.3184713375796178
Angry music,87,15,33,0.8529411764705882,0.725,0.7837837837837837
