,tp,fp,fn,precision,recall,f1
Happy music,69,48,51,0.5897435897435898,0.575,0.5822784810126582
Funny music,25,46,35,0.352112676056338,0.4166666666666667,0.38167938931297707
Sad music,21,10,39,0.6774193548387096,0.35,0.4615384615384615
Tender music,27,70,33,0.27835051546391754,0.45,0.34394904458598724
Angry music,90,14,30,0.8653846153846154,0.75,0.8035714285714286
