,tp,fp,fn,precision,recall,f1
anger,28,66,698,0.2978723404255319,0.03856749311294766,0.06829268292682927
disgust,13,6,110,0.6842105263157895,0.10569105691056911,0.18309859154929575
fear,0,1,98,0.0,0.0,
joy,1608,688,496,0.7003484320557491,0.7642585551330798,0.730909090909091
sadness,104,511,275,0.16910569105691056,0.27440633245382584,0.20925553319919518
surprise,21,102,656,0.17073170731707318,0.0310192023633678,0.052500000000000005
neutral,1252,1027,535,0.549363756033348,0.7006155567991047,0.6158386620757502
