,tp,fp,fn,precision,recall,f1
Happy,390,423,1060,0.4797047970479705,0.2689655172413793,0.344675209898365
Funny,110,290,955,0.275,0.10328638497652583,0.15017064846416384
Sad,812,599,1674,0.5754783841247342,0.3266291230893001,0.4167308185783936
Tender,156,2351,132,0.062225767850019945,0.5416666666666666,0.11162790697674417
Angry,142,154,601,0.4797297297297297,0.1911170928667564,0.273339749759384
