,tp,fp,fn,precision,recall,f1
Happy music,59,33,61,0.6413043478260869,0.49166666666666664,0.5566037735849055
Funny music,27,54,33,0.3333333333333333,0.45,0.3829787234042553
Sad music,27,15,33,0.6428571428571429,0.45,0.5294117647058824
Tender music,24,71,36,0.25263157894736843,0.4,0.3096774193548387
Angry music,96,14,24,0.8727272727272727,0.8,0.8347826086956521
