,tp,fp,fn,precision,recall,f1
anger,26,61,700,0.2988505747126437,0.03581267217630854,0.06396063960639607
disgust,15,11,108,0.5769230769230769,0.12195121951219512,0.20134228187919462
fear,0,1,98,0.0,0.0,
joy,1440,432,664,0.7692307692307693,0.6844106463878327,0.7243460764587525
sadness,144,661,235,0.17888198757763976,0.37994722955145116,0.24324324324324323
surprise,22,112,655,0.16417910447761194,0.03249630723781388,0.05425400739827373
neutral,1353,1149,434,0.5407673860911271,0.7571348628987129,0.6309162975052459
