,tp,fp,fn,precision,recall,f1
anger,51,85,675,0.375,0.07024793388429752,0.1183294663573086
disgust,23,26,100,0.46938775510204084,0.18699186991869918,0.26744186046511625
fear,1,3,97,0.25,0.01020408163265306,0.019607843137254898
joy,1447,405,657,0.781317494600432,0.6877376425855514,0.7315470171890799
sadness,150,663,229,0.18450184501845018,0.39577836411609496,0.2516778523489933
surprise,10,82,667,0.10869565217391304,0.014771048744460856,0.02600780234070221
neutral,1335,1146,452,0.5380894800483675,0.7470621152770005,0.6255857544517338
