,tp,fp,fn,precision,recall,f1
anger,52,80,674,0.3939393939393939,0.07162534435261708,0.12121212121212122
disgust,20,14,103,0.5882352941176471,0.16260162601626016,0.25477707006369427
fear,5,7,93,0.4166666666666667,0.05102040816326531,0.09090909090909091
joy,1548,550,556,0.7378455672068637,0.7357414448669202,0.7367920038077105
sadness,137,595,242,0.1871584699453552,0.36147757255936674,0.24662466246624665
surprise,12,80,665,0.13043478260869565,0.01772525849335303,0.031209362808842653
neutral,1282,1045,505,0.5509239363987968,0.7174034695019585,0.6232377248420029
