,tp,fp,fn,precision,recall,f1
Happy,278,188,1172,0.5965665236051502,0.1917241379310345,0.29018789144050106
Funny,140,141,925,0.498220640569395,0.13145539906103287,0.20802377414561662
Sad,1227,883,1259,0.5815165876777251,0.49356395816572807,0.5339425587467364
Tender,134,2227,154,0.056755612028801354,0.4652777777777778,0.10117025292563232
Angry,121,88,622,0.5789473684210527,0.16285329744279947,0.25420168067226895
