,tp,fp,fn,precision,recall,f1
Happy,594,443,856,0.5728061716489875,0.4096551724137931,0.4776839565741858
Funny,137,65,928,0.6782178217821783,0.12863849765258217,0.2162588792423047
Sad,619,488,1867,0.5591689250225835,0.248994368463395,0.3445588644586696
Tender,144,2525,144,0.053952791307605844,0.5,0.09739600946905647
Angry,200,212,543,0.4854368932038835,0.2691790040376851,0.3463203463203463
