,tp,fp,fn,precision,recall,f1
anger,33,61,693,0.35106382978723405,0.045454545454545456,0.08048780487804878
disgust,11,11,112,0.5,0.08943089430894309,0.15172413793103448
fear,0,0,98,,0.0,
joy,1507,496,597,0.7523714428357464,0.716254752851711,0.7338690041392745
sadness,115,483,264,0.19230769230769232,0.3034300791556728,0.2354145342886387
surprise,16,79,661,0.16842105263157894,0.023633677991137372,0.04145077720207253
neutral,1389,1226,398,0.5311663479923519,0.7772803581421377,0.6310767832803272
