,tp,fp,fn,precision,recall,f1
Happy,205,401,1245,0.33828382838283827,0.1413793103448276,0.19941634241245138
Funny,225,279,840,0.44642857142857145,0.2112676056338028,0.28680688336520077
Sad,1061,817,1425,0.5649627263045793,0.4267900241351569,0.4862511457378552
Tender,107,1904,181,0.05320735952262556,0.3715277777777778,0.09308394954327968
Angry,169,259,574,0.39485981308411217,0.2274562584118439,0.2886421861656704
