,tp,fp,fn,precision,recall,f1
Happy music,54,35,66,0.6067415730337079,0.45,0.5167464114832536
Funny music,28,56,32,0.3333333333333333,0.4666666666666667,0.3888888888888889
Sad music,22,11,38,0.6666666666666666,0.36666666666666664,0.47311827956989244
Tender music,29,70,31,0.29292929292929293,0.48333333333333334,0.3647798742138365
Angry music,96,19,24,0.8347826086956521,0.8,0.8170212765957447
