,tp,fp,fn,precision,recall,f1
Happy music,57,29,63,0.6627906976744186,0.475,0.5533980582524272
Funny music,30,67,30,0.30927835051546393,0.5,0.3821656050955414
Sad music,26,12,34,0.6842105263157895,0.43333333333333335,0.5306122448979592
Tender music,28,62,32,0.3111111111111111,0.4666666666666667,0.37333333333333335
Angry music,97,12,23,0.8899082568807339,0.8083333333333333,0.8471615720524018
