,tp,fp,fn,precision,recall,f1
anger,38,71,688,0.3486238532110092,0.05234159779614325,0.09101796407185629
disgust,23,13,100,0.6388888888888888,0.18699186991869918,0.28930817610062887
fear,1,1,97,0.5,0.01020408163265306,0.019999999999999997
joy,1533,550,571,0.7359577532405185,0.7286121673003803,0.7322665392882733
sadness,138,663,241,0.17228464419475656,0.3641160949868074,0.2338983050847458
surprise,23,128,654,0.152317880794702,0.033973412112259974,0.055555555555555566
neutral,1248,997,539,0.555902004454343,0.6983771684387241,0.6190476190476191
