,tp,fp,fn,precision,recall,f1
anger,35,66,691,0.3465346534653465,0.048209366391184574,0.08464328899637244
disgust,20,17,103,0.5405405405405406,0.16260162601626016,0.25
fear,1,1,97,0.5,0.01020408163265306,0.019999999999999997
joy,1447,418,657,0.7758713136729223,0.6877376425855514,0.7291509196271102
sadness,116,518,263,0.1829652996845426,0.30606860158311344,0.22902270483711748
surprise,18,75,659,0.1935483870967742,0.026587887740029542,0.046753246753246755
neutral,1416,1279,371,0.525417439703154,0.7923894795747062,0.6318607764390898
