,tp,fp,fn,precision,recall,f1
Happy,281,243,1169,0.5362595419847328,0.19379310344827586,0.28470111448834856
Funny,245,272,820,0.4738878143133462,0.2300469483568075,0.3097345132743362
Sad,1085,954,1401,0.5321235899950957,0.4364440868865648,0.4795580110497238
Tender,105,1642,183,0.06010303377218088,0.3645833333333333,0.10319410319410319
Angry,248,352,495,0.41333333333333333,0.33378196500672946,0.3693224125093075
