,tp,fp,fn,precision,recall,f1
Happy,250,150,1200,0.625,0.1724137931034483,0.2702702702702703
Funny,182,181,883,0.5013774104683195,0.17089201877934274,0.2549019607843137
Sad,1640,1078,846,0.6033848417954378,0.6596942880128721,0.6302843966179862
Tender,65,1343,223,0.04616477272727273,0.22569444444444445,0.07665094339622641
Angry,210,328,533,0.3903345724907063,0.28263795423956933,0.32786885245901637
