,tp,fp,fn,precision,recall,f1
Happy,524,332,926,0.6121495327102804,0.36137931034482756,0.45446660884648743
Funny,178,103,887,0.6334519572953736,0.1671361502347418,0.26448736998514116
Sad,1751,1064,735,0.62202486678508,0.7043443282381335,0.6606300697981513
Tender,61,967,227,0.05933852140077821,0.21180555555555555,0.09270516717325228
Angry,186,261,557,0.4161073825503356,0.2503364737550471,0.31260504201680667
