,tp,fp,fn,precision,recall,f1
anger,32,59,694,0.3516483516483517,0.0440771349862259,0.07833537331701347
disgust,17,7,106,0.7083333333333334,0.13821138211382114,0.23129251700680273
fear,0,1,98,0.0,0.0,
joy,1401,355,703,0.7978359908883826,0.6658745247148289,0.7259067357512953
sadness,128,546,251,0.18991097922848665,0.33773087071240104,0.24311490978157646
surprise,26,83,651,0.23853211009174313,0.03840472673559823,0.06615776081424936
neutral,1444,1328,343,0.5209235209235209,0.8080581980973699,0.6334722526869927
